date,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Air temperature  (°C) ,Atmosphere (hpa),Relative humidity (%),Power (MW)
2019/2/6 11:30,405,7,167,-4.6,914.3,44,17.38
2019/2/6 11:45,418,6,200,-4.3,914.1,43.5,16.84
2019/2/6 12:00,401,7,195,-3.2,914.4,39.4,15.27
2019/2/6 12:15,604,8,202,-2.3,914,37.9,14.03
2019/2/6 12:30,472,8,174,-1.9,914.1,34.9,10.19
2019/2/6 12:45,806,11,231,-0.9,913.6,32,8.88
2019/2/6 13:00,887,11,275,0.1,913.4,29.8,8.71
2019/2/6 13:15,763,11,240,0.9,913,28.6,8.58
2019/2/6 13:30,742,11,250,1.7,912.9,28,9.69
2019/2/6 13:45,632,10,240,1.7,912.5,29.2,9.92
2019/2/6 14:00,716,10,291,2.4,912.3,27.1,9.39
2019/2/6 14:15,648,10,245,2.8,912,27.5,8.31
2019/2/6 14:30,514,9,206,3.2,911.6,27.1,8.19
2019/2/6 14:45,617,9,225,3.4,911.4,26.5,8.04
2019/2/6 15:00,526,7,221,3.8,911.1,25.8,7.52
2019/2/6 15:15,477,9,208,3.7,910.9,26.4,7.5
2019/2/6 15:30,298,5,216,4.2,910.7,25.8,7.32
2019/2/6 15:45,560,6,221,4.5,910.4,25.9,6.88
2019/2/6 16:00,260,6,175,4.4,910.1,25.8,7.71
2019/2/6 16:15,782,11,181,4.4,910,25.6,9.44
2019/2/6 16:30,689,13,165,5.1,910,23.9,9.8
2019/2/6 16:45,686,17,124,5,910.1,24.3,11
2019/2/6 17:00,677,17,148,5,909.8,24.4,13.59
2019/2/6 17:15,205,7,129,4,909.7,25.7,9.28
2019/2/6 17:30,308,9,116,4,909.7,26.2,11.89
2019/2/6 17:45,191,4,102,3.6,909.5,26.6,7.19
2019/2/6 18:00,90,1,79,3.3,909.7,26.9,3.57
2019/2/6 18:15,41,1,34,2.7,909.5,27.8,1.36
2019/2/6 18:30,30,0,25,2.4,909.5,28.3,0.77
2019/2/6 18:45,14,1,10,2.1,909.2,29.3,0.13
2019/2/6 19:00,0,0,0,1.7,909.1,30.4,0
2019/2/6 19:15,0,1,0,1.1,909.5,31.4,0
2019/2/6 19:30,0,1,0,0.7,909.5,30.7,0
2019/2/6 19:45,0,0,0,0.4,909.5,29.9,0
2019/2/6 20:00,0,1,0,0.2,909.8,29.6,0
2019/2/6 20:15,0,1,0,-0.2,910.1,29.9,0
2019/2/6 20:30,0,1,0,-0.3,910.1,29.6,0
2019/2/6 20:45,0,1,0,-0.8,910.3,29.9,0
2019/2/6 21:00,0,0,0,-1,910.4,30,0
2019/2/6 21:15,0,0,0,-1.1,910.4,31.1,0
2019/2/6 21:30,0,0,0,-1.4,910.2,31.2,0
2019/2/6 21:45,0,0,0,-1.8,910.6,30.5,0
2019/2/6 22:00,0,0,0,-2.1,911,30.8,0
2019/2/6 22:15,0,0,0,-2.2,910.8,30,0
2019/2/6 22:30,0,0,0,-2.4,910.8,28.6,0
2019/2/6 22:45,0,0,0,-2.3,910.6,27.4,0
2019/2/6 23:00,0,0,0,-2.6,910.9,26.8,0
2019/2/6 23:15,0,0,0,-2.9,911,26.7,0
2019/2/6 23:30,0,0,0,-2.9,911.3,26.4,0
2019/2/6 23:45,0,0,0,-3.4,911.7,27.1,0
2019/2/7 0:00,0,0,0,-3.6,912,26.5,0
2019/2/7 0:15,0,0,0,-3.6,912.3,26.7,0
2019/2/7 0:30,0,0,0,-3.7,913,27.7,0
2019/2/7 0:45,0,0,0,-3.6,913.5,26.8,0
2019/2/7 1:00,0,0,0,-3.6,913.7,26.5,0
2019/2/7 1:15,0,0,0,-3.4,913.6,26.7,0
2019/2/7 1:30,0,0,0,-3.3,913.6,26.3,0
2019/2/7 1:45,0,0,0,-3.6,913.8,29.4,0
2019/2/7 2:00,0,2,0,-3.9,914.1,31.1,0
2019/2/7 2:15,0,1,0,-4.7,914.1,35.6,0
2019/2/7 2:30,0,0,0,-5,914.5,36.7,0
2019/2/7 2:45,0,0,0,-5.1,914.7,37.5,0
2019/2/7 3:00,0,0,0,-5.2,914.9,38.1,0
2019/2/7 3:15,0,0,0,-5,915.3,37.8,0
2019/2/7 3:30,0,0,0,-5.3,915.4,38.3,0
2019/2/7 3:45,0,0,0,-5.5,915.6,38.7,0
2019/2/7 4:00,0,0,0,-4.9,915.3,35.8,0
2019/2/7 4:15,0,0,0,-5,915.9,28.3,0
2019/2/7 4:30,0,0,0,-5,915.6,28.5,0
2019/2/7 4:45,0,0,0,-5.1,915.7,29.8,0
2019/2/7 5:00,0,1,0,-5.3,915.8,31,0
2019/2/7 5:15,0,0,0,-5.6,916.1,31.2,0
2019/2/7 5:30,0,0,0,-5.5,916.3,32,0
2019/2/7 5:45,0,0,0,-5.8,916,32.2,0
2019/2/7 6:00,0,0,0,-5.7,916.4,32.1,0
2019/2/7 6:15,0,0,0,-5.8,916.6,32.1,0
2019/2/7 6:30,0,0,0,-5.8,916.7,32.7,0
2019/2/7 6:45,0,0,0,-5.8,917.2,33,0
2019/2/7 7:00,0,0,0,-5.8,917.6,33.7,0
2019/2/7 7:15,0,0,0,-5.9,917.9,36.9,0
2019/2/7 7:30,0,0,0,-6.1,917.9,42.7,0
2019/2/7 7:45,0,0,0,-6.3,918.4,49.5,0
2019/2/7 8:00,0,0,0,-6.3,918.3,51.6,0
2019/2/7 8:15,0,1,0,-6.6,918.4,54.3,0
2019/2/7 8:30,0,1,0,-7,918.2,56.9,0
2019/2/7 8:45,2,1,2,-7.6,918.9,58.1,0
2019/2/7 9:00,11,0,9,-7.9,918.9,60.6,0.25
2019/2/7 9:15,48,0,31,-8.1,919,61.4,1.37
2019/2/7 9:30,57,1,40,-8,919.1,59.8,1.68
2019/2/7 9:45,59,1,50,-7.9,919.6,57.5,2.23
2019/2/7 10:00,86,1,61,-7.8,919.5,56.2,4.89
2019/2/7 10:15,262,6,110,-7.5,919.9,56.4,8.86
2019/2/7 10:30,303,10,104,-7.2,920,55.5,14.84
2019/2/7 10:45,162,3,118,-6.2,920.2,54.5,6.31
2019/2/7 11:00,174,1,135,-5.8,920.2,53.5,7.86
2019/2/7 11:15,407,8,159,-5.1,919.9,51.3,20.38
2019/2/7 11:30,606,13,130,-4.5,919.7,48.7,28.03
2019/2/7 11:45,631,14,228,-3.6,919.6,45.9,23.28
2019/2/7 12:00,453,10,188,-3.6,919.9,44.9,21.92
2019/2/7 12:15,475,11,251,-3.3,919.8,43.9,18.99
2019/2/7 12:30,489,5,224,-2.9,919.8,45.1,16.62
2019/2/7 12:45,656,14,161,-2.4,919.9,42.5,16.32
2019/2/7 13:00,939,12,121,-1.5,919.8,42.2,15.66
2019/2/7 13:15,1021,14,118,-1.4,919.6,39.8,12.82
2019/2/7 13:30,1042,13,124,-0.8,919.6,37.7,11.98
2019/2/7 13:45,1040,13,172,-0.4,919,37.3,11.55
2019/2/7 14:00,1026,14,213,-0.4,919,34.8,10.86
2019/2/7 14:15,1025,15,126,-0.3,919,35,10.61
2019/2/7 14:30,986,15,119,0.3,919,31.5,10.45
2019/2/7 14:45,956,14,112,0.4,918.7,31.6,10.28
2019/2/7 15:00,940,14,103,0.4,918.8,36.8,10.34
2019/2/7 15:15,906,15,103,0.8,918.7,31.1,10.22
2019/2/7 15:30,882,17,99,0.4,918.6,37.9,10.3
2019/2/7 15:45,854,16,93,0.4,918.7,37.4,10.21
2019/2/7 16:00,781,14,86,0.8,918.9,37.6,16.08
2019/2/7 16:15,724,15,82,0.4,919.3,35.8,15.5
2019/2/7 16:30,699,17,75,-0.2,919.3,35.9,14.97
2019/2/7 16:45,659,16,71,-0.5,919.6,35.9,15.92
2019/2/7 17:00,609,15,66,-0.8,919.5,35.9,15.86
2019/2/7 17:15,558,16,59,-0.7,919.6,35.6,16.59
2019/2/7 17:30,459,15,53,-0.8,919.5,34.9,15.87
2019/2/7 17:45,430,17,58,-1.2,920,34.9,15.21
2019/2/7 18:00,288,13,42,-1.5,920.2,34.6,8.89
2019/2/7 18:15,138,6,29,-2,920.6,35.8,3.15
2019/2/7 18:30,95,3,30,-2.5,920.5,35.3,2.18
2019/2/7 18:45,24,1,13,-3,920.8,34.2,0.46
2019/2/7 19:00,2,1,1,-3.5,921,34.2,0
2019/2/7 19:15,0,1,0,-3.8,921.2,35.6,0
2019/2/7 19:30,0,0,0,-4.4,921.5,36.9,0
2019/2/7 19:45,0,1,0,-4.8,922,40.2,0
2019/2/7 20:00,0,0,0,-5.2,922.2,43.6,0
2019/2/7 20:15,0,1,0,-5.5,922.5,44.7,0
2019/2/7 20:30,0,0,0,-5.9,922.7,45.5,0
2019/2/7 20:45,0,1,0,-6.3,923.1,46.1,0
2019/2/7 21:00,0,0,0,-6.2,923,44.9,0
2019/2/7 21:15,0,1,0,-6.5,923,45.5,0
2019/2/7 21:30,0,0,0,-6.6,923.3,45.8,0
2019/2/7 21:45,0,0,0,-6.7,923.3,46.1,0
2019/2/7 22:00,0,1,0,-7.1,923.4,47,0
2019/2/7 22:15,0,0,0,-7.3,923.3,47.4,0
2019/2/7 22:30,0,1,0,-7.8,923.5,48.7,0
2019/2/7 22:45,0,0,0,-7.3,923.7,49.9,0
2019/2/7 23:00,0,0,0,-7.8,923.5,51.6,0
2019/2/7 23:15,0,0,0,-7.7,923.8,51.5,0
2019/2/7 23:30,0,0,0,-7.8,923.9,52,0
2019/2/7 23:45,0,1,0,-8,923.9,52.1,0
2019/2/8 0:00,0,0,0,-8.4,924,53.9,0
2019/2/8 0:15,0,0,0,-8.4,924.1,53,0
2019/2/8 0:30,0,1,0,-8.7,924.3,53.7,0
2019/2/8 0:45,0,0,0,-8.7,924.1,52.8,0
2019/2/8 1:00,0,0,0,-8.9,924,53.4,0
2019/2/8 1:15,0,1,0,-9.4,924.1,54.3,0
2019/2/8 1:30,0,0,0,-9.3,924.4,53.9,0
2019/2/8 1:45,0,1,0,-9.7,924.4,55,0
2019/2/8 2:00,0,0,0,-9.8,924.4,55.5,0
2019/2/8 2:15,0,0,0,-10.2,924.2,56.8,0
2019/2/8 2:30,0,0,0,-9.9,924.3,56.9,0
2019/2/8 2:45,0,0,0,-10,924.3,56.8,0
2019/2/8 3:00,0,0,0,-9.6,924.1,54.4,0
2019/2/8 3:15,0,0,0,-9.5,924.1,53.1,0
2019/2/8 3:30,0,0,0,-9.7,924.3,51.7,0
2019/2/8 3:45,0,0,0,-9.6,924.2,50.3,0
2019/2/8 4:00,0,0,0,-9.6,924.2,50.3,0
2019/2/8 4:15,0,0,0,-9.5,924.2,49.1,0
2019/2/8 4:30,0,1,0,-9.8,924.1,49.4,0
2019/2/8 4:45,0,0,0,-9.8,924.2,48.6,0
2019/2/8 5:00,0,0,0,-9.9,924.2,49.4,0
2019/2/8 5:15,0,0,0,-9.9,924.1,49.5,0
2019/2/8 5:30,0,0,0,-10,924,49.4,0
2019/2/8 5:45,0,0,0,-10,924.1,48.7,0
2019/2/8 6:00,0,0,0,-10,923.8,47.4,0
2019/2/8 6:15,0,0,0,-9.9,923.7,47.8,0
2019/2/8 6:30,0,0,0,-10,923.9,46.6,0
2019/2/8 6:45,0,0,0,-10.2,924,46.5,0
2019/2/8 7:00,0,0,0,-10.2,924.1,46.5,0
2019/2/8 7:15,0,1,0,-10.3,924.1,45.8,0
2019/2/8 7:30,0,0,0,-10.5,924.2,46.5,0
2019/2/8 7:45,0,0,0,-10.4,924.1,45.5,0
2019/2/8 8:00,0,0,0,-10.3,924.3,44.1,0
2019/2/8 8:15,0,0,0,-10.1,924.4,43.1,0
2019/2/8 8:30,0,0,0,-10.2,924.4,42.4,0
2019/2/8 8:45,5,1,4,-10.4,924.4,43.2,0.04
2019/2/8 9:00,51,0,16,-10.2,924.4,45.3,0.83
2019/2/8 9:15,147,2,30,-9.5,924.4,44,2.85
2019/2/8 9:30,238,5,47,-8.9,924.3,43.8,6.92
2019/2/8 9:45,290,7,60,-8.2,924.4,40.3,11.68
2019/2/8 10:00,371,9,67,-7.7,924.4,39,15.92
2019/2/8 10:15,507,9,83,-7,924.5,29.9,20.13
2019/2/8 10:30,620,10,92,-6.7,924.5,27.1,22.45
2019/2/8 10:45,501,8,86,-6,924.2,21.8,24.44
2019/2/8 11:00,747,13,94,-5.8,924,18.5,27.95
2019/2/8 11:15,750,10,84,-5.1,923.6,17.6,33.54
2019/2/8 11:30,812,13,100,-4.9,923.4,16.1,33.31
2019/2/8 11:45,744,11,127,-4.6,923.3,15.2,32.78
2019/2/8 12:00,713,11,131,-4.3,922.9,15.3,32.31
2019/2/8 12:15,779,12,139,-4,923,13.3,32.88
2019/2/8 12:30,835,11,152,-3.3,922.6,12.7,34.11
2019/2/8 12:45,859,11,157,-3.3,922.5,12.7,34.92
2019/2/8 13:00,915,12,153,-3.2,922.6,12.1,34.11
2019/2/8 13:15,928,12,158,-3.3,922.3,11.6,34.51
2019/2/8 13:30,947,12,168,-2.9,922.4,11.2,37.78
2019/2/8 13:45,994,12,232,-2.6,922,10.6,37.72
2019/2/8 14:00,823,11,241,-2.4,921.7,9.6,32.19
2019/2/8 14:15,810,14,152,-2.6,921.7,8.5,36.66
2019/2/8 14:30,733,13,151,-2.5,921.6,8.2,35.05
2019/2/8 14:45,890,13,137,-2.3,921.3,9.6,38.94
2019/2/8 15:00,885,12,122,-1.9,921.1,8.6,38.75
2019/2/8 15:15,867,14,127,-2.2,921.1,8.3,38.27
2019/2/8 15:30,876,12,115,-1.8,921,7.8,36.66
2019/2/8 15:45,719,12,140,-1.9,921,8.4,30.38
2019/2/8 16:00,638,11,182,-1.6,921,10,28.07
2019/2/8 16:15,462,10,157,-1.6,920.7,11.1,24.15
2019/2/8 16:30,513,11,122,-1.6,920.9,11.2,23.67
2019/2/8 16:45,399,9,111,-1.8,920.9,11.3,19.11
2019/2/8 17:00,377,8,108,-1.8,920.9,10.6,15.22
2019/2/8 17:15,225,4,107,-1.9,920.8,11.5,10.54
2019/2/8 17:30,209,4,100,-2.4,921,11.3,8.15
2019/2/8 17:45,135,2,84,-2.6,921.1,13.7,5.72
2019/2/8 18:00,105,1,71,-3.1,921.1,14.7,4.32
2019/2/8 18:15,74,1,54,-3.2,921.2,14.9,2.77
2019/2/8 18:30,32,1,26,-3.7,921.3,13.8,1.05
2019/2/8 18:45,11,1,9,-3.9,921.5,15.9,0.1
2019/2/8 19:00,1,0,1,-4.5,921.7,15.9,0
2019/2/8 19:15,0,1,0,-4.7,922,16.9,0
2019/2/8 19:30,0,1,0,-5.1,922.4,17.2,0
2019/2/8 19:45,0,1,0,-5.4,922.5,18.4,0
2019/2/8 20:00,0,0,0,-5.6,922.6,19.2,0
2019/2/8 20:15,0,1,0,-5.9,922.9,20.1,0
2019/2/8 20:30,0,1,0,-6.2,922.9,21,0
2019/2/8 20:45,0,0,0,-6.5,923.1,21.5,0
2019/2/8 21:00,0,0,0,-6.6,923.3,21.9,0
2019/2/8 21:15,0,1,0,-7.2,923.6,23.7,0
2019/2/8 21:30,0,1,0,-7.5,923.7,24.6,0
2019/2/8 21:45,0,1,0,-7.7,924,24.3,0
2019/2/8 22:00,0,0,0,-7.8,924.3,22.9,0
2019/2/8 22:15,0,0,0,-7.7,924.2,21.2,0
2019/2/8 22:30,0,1,0,-8.1,924.2,22.5,0
2019/2/8 22:45,0,0,0,-8.2,924.3,23.7,0
2019/2/8 23:00,0,0,0,-8.5,924.8,24.9,0
2019/2/8 23:15,0,0,0,-8.5,924.9,26.3,0
2019/2/8 23:30,0,0,0,-8.5,924.9,26.3,0
2019/2/8 23:45,0,0,0,-8.5,925,26.1,0
2019/2/9 0:00,0,0,0,-8.5,925,25.7,0
2019/2/9 0:15,0,0,0,-8.7,925.1,25.7,0
2019/2/9 0:30,0,0,0,-8.8,925,25.2,0
2019/2/9 0:45,0,1,0,-8.9,924.9,26.6,0
2019/2/9 1:00,0,0,0,-8.9,924.8,26.1,0
2019/2/9 1:15,0,0,0,-9,924.8,25.6,0
2019/2/9 1:30,0,0,0,-9,924.7,25.3,0
2019/2/9 1:45,0,0,0,-9.2,924.8,25.1,0
2019/2/9 2:00,0,0,0,-8.8,924.8,24.1,0
2019/2/9 2:15,0,0,0,-8.7,925,22.3,0
2019/2/9 2:30,0,0,0,-8.5,925.3,21.2,0
2019/2/9 2:45,0,0,0,-8.5,925,20.9,0
2019/2/9 3:00,0,1,0,-9,924.8,21.5,0
2019/2/9 3:15,0,1,0,-9,924.8,21.8,0
2019/2/9 3:30,0,0,0,-8.5,924.8,20.8,0
2019/2/9 3:45,0,0,0,-8.4,924.9,20.8,0
2019/2/9 4:00,0,0,0,-8.5,924.8,21.3,0
2019/2/9 4:15,0,0,0,-8.5,924.9,21.8,0
2019/2/9 4:30,0,0,0,-8.6,924.7,22.1,0
2019/2/9 4:45,0,0,0,-8.5,924.6,23.2,0
2019/2/9 5:00,0,0,0,-8.7,924.6,22.8,0
2019/2/9 5:15,0,0,0,-8.6,924.5,24.6,0
2019/2/9 5:30,0,0,0,-8.6,924.4,25,0
2019/2/9 5:45,0,0,0,-8.8,924.2,26.1,0
2019/2/9 6:00,0,0,0,-8.7,924.2,27,0
2019/2/9 6:15,0,0,0,-8.6,924.2,28,0
2019/2/9 6:30,0,0,0,-8.5,924,27.9,0
2019/2/9 6:45,0,0,0,-8.4,924.3,28.7,0
2019/2/9 7:00,0,0,0,-8.5,924.3,29.4,0
2019/2/9 7:15,0,0,0,-8.5,924.5,31,0
2019/2/9 7:30,0,0,0,-8.7,924.3,32.1,0
2019/2/9 7:45,0,0,0,-8.7,924.3,32.4,0
2019/2/9 8:00,0,0,0,-8.9,924.3,32.2,0
2019/2/9 8:15,0,0,0,-8.7,924.5,31,0
2019/2/9 8:30,0,0,0,-8.7,924.6,30.8,0
2019/2/9 8:45,2,0,2,-8.9,924.5,30.3,0
2019/2/9 9:00,12,0,12,-8.9,924.7,30.5,0.19
2019/2/9 9:15,29,0,27,-8.8,924.9,29.7,0.96
2019/2/9 9:30,47,0,40,-8.8,925.1,29.9,1.77
2019/2/9 9:45,66,0,53,-8.7,925.2,30.1,2.95
2019/2/9 10:00,111,1,90,-8.4,925.3,29.5,4.78
2019/2/9 10:15,131,1,106,-8.2,925.2,29.1,5.67
2019/2/9 10:30,153,1,123,-7.9,925.3,27.7,6.33
2019/2/9 10:45,157,1,132,-7.7,925.3,27,7.38
2019/2/9 11:00,176,1,151,-7.7,925.2,27.4,8.78
2019/2/9 11:15,183,1,158,-7.4,925,26.6,8.99
2019/2/9 11:30,210,1,179,-7.1,925,26.4,10.4
2019/2/9 11:45,248,1,208,-6.7,925.1,25.4,12.13
2019/2/9 12:00,242,1,212,-6.6,924.9,24.9,12.07
2019/2/9 12:15,237,1,216,-6.3,924.6,24.3,11.37
2019/2/9 12:30,218,1,201,-5.8,924.7,24.4,10.7
2019/2/9 12:45,229,1,212,-5.6,924.5,23.4,11.15
2019/2/9 13:00,225,2,206,-5.4,924.5,23.3,11.43
2019/2/9 13:15,281,2,238,-5.1,924.3,22.7,13.61
2019/2/9 13:30,302,2,238,-4.4,923.9,21.9,14.55
2019/2/9 13:45,312,2,238,-4.3,923.7,21.4,15.74
2019/2/9 14:00,322,2,250,-3.8,923.4,21,16.4
2019/2/9 14:15,377,4,264,-3.5,923.3,20.2,18.63
2019/2/9 14:30,421,3,259,-3.2,923.1,19.7,20.97
2019/2/9 14:45,455,8,250,-3.4,923,18.9,20.45
2019/2/9 15:00,336,5,240,-3.4,923,19.3,14.81
2019/2/9 15:15,284,5,219,-2.8,923,18.6,12.01
2019/2/9 15:30,250,4,205,-3.1,923.1,19.4,11.46
2019/2/9 15:45,218,1,185,-2.8,923.1,19.4,9.38
2019/2/9 16:00,166,2,153,-3.2,923.3,19.4,7.6
2019/2/9 16:15,177,2,157,-3.4,923.2,31.6,8.13
2019/2/9 16:30,202,2,173,-3.4,923.6,28.5,9.89
2019/2/9 16:45,212,4,163,-3.5,923.4,32.9,10.46
2019/2/9 17:00,278,5,171,-3.3,923.5,33.8,11.24
2019/2/9 17:15,182,2,119,-3.3,923.7,34,7.09
2019/2/9 17:30,176,4,119,-3.7,923.7,36.1,6.89
2019/2/9 17:45,186,6,83,-3.6,923.9,34.4,8.63
2019/2/9 18:00,155,4,64,-3.6,923.7,33.1,4.55
2019/2/9 18:15,111,3,52,-3.6,923.9,32.2,3.59
2019/2/9 18:30,57,1,34,-3.8,923.9,32.8,1.89
2019/2/9 18:45,20,1,14,-3.9,923.9,31.9,0.36
2019/2/9 19:00,3,0,2,-4.3,924.1,33.1,0
2019/2/9 19:15,0,0,0,-4.4,924.3,33.3,0
2019/2/9 19:30,0,1,0,-4.5,924.3,34.1,0
2019/2/9 19:45,0,0,0,-4.6,924.3,34.9,0
2019/2/9 20:00,0,1,0,-4.3,924.4,34.6,0
2019/2/9 20:15,0,0,0,-4.5,924.7,34.9,0
2019/2/9 20:30,0,0,0,-4.4,924.7,34.9,0
2019/2/9 20:45,0,0,0,-4.6,924.7,35.3,0
2019/2/9 21:00,0,0,0,-4.8,924.7,36.3,0
2019/2/9 21:15,0,0,0,-4.8,924.8,35.5,0
2019/2/9 21:30,0,0,0,-4.8,924.8,35.9,0
2019/2/9 21:45,0,1,0,-5.5,924.9,36.7,0
2019/2/9 22:00,0,1,0,-5.9,924.8,37.8,0
2019/2/9 22:15,0,0,0,-6,924.9,38.3,0
2019/2/9 22:30,0,0,0,-5.6,925,38.3,0
2019/2/9 22:45,0,0,0,-5.9,924.7,38.3,0
2019/2/9 23:00,0,1,0,-6.5,924.6,38.7,0
2019/2/9 23:15,0,1,0,-6,924.5,39.5,0
2019/2/9 23:30,0,0,0,-6.1,924.3,39.9,0
2019/2/9 23:45,0,0,0,-5.9,924.4,39.3,0
2019/2/10 0:00,0,0,0,-6.4,924.4,40.3,0
2019/2/10 0:15,0,0,0,-6.3,924.3,40.5,0
2019/2/10 0:30,0,0,0,-6.1,924.3,39.6,0
2019/2/10 0:45,0,1,0,-6.8,924,40.7,0
2019/2/10 1:00,0,0,0,-6.1,924,41.8,0
2019/2/10 1:15,0,0,0,-5.5,923.9,39,0
2019/2/10 1:30,0,2,0,-6.4,923.8,38.8,0
2019/2/10 1:45,0,0,0,-6.5,923.8,41.5,0
2019/2/10 2:00,0,1,0,-6.5,923.9,41.8,0
2019/2/10 2:15,0,1,0,-6.9,923.8,42.7,0
2019/2/10 2:30,0,1,0,-6.6,923.7,41.8,0
2019/2/10 2:45,0,1,0,-7.4,923.5,43.5,0
2019/2/10 3:00,0,0,0,-7.6,923.3,46.6,0
2019/2/10 3:15,0,0,0,-7.4,923.4,47.9,0
2019/2/10 3:30,0,0,0,-7.5,923.2,51.7,0
2019/2/10 3:45,0,0,0,-7.8,923.3,54.9,0
2019/2/10 4:00,0,0,0,-7.9,923.3,58.6,0
2019/2/10 4:15,0,0,0,-8,923.1,60.2,0
2019/2/10 4:30,0,1,0,-8.4,922.8,60.4,0
2019/2/10 4:45,0,1,0,-8.9,922.5,61.9,0
2019/2/10 5:00,0,0,0,-8.7,922.4,62.3,0
2019/2/10 5:15,0,0,0,-8.5,922.4,61.2,0
2019/2/10 5:30,0,0,0,-8.3,922.1,60.7,0
2019/2/10 5:45,0,0,0,-8.4,921.8,60.1,0
2019/2/10 6:00,0,1,0,-8.6,921.7,59.6,0
2019/2/10 6:15,0,0,0,-8.4,921.7,59,0
2019/2/10 6:30,0,1,0,-8.4,921.7,58.7,0
2019/2/10 6:45,0,0,0,-8.4,921.6,58.7,0
2019/2/10 7:00,0,0,0,-8.6,921.7,59.1,0
2019/2/10 7:15,0,0,0,-8.5,921.7,59.4,0
2019/2/10 7:30,0,0,0,-8.6,921.5,59.6,0
2019/2/10 7:45,0,0,0,-8.7,921.5,59.5,0
2019/2/10 8:00,0,0,0,-8.6,921.6,60.4,0
2019/2/10 8:15,0,1,0,-8.8,921.5,60.8,0
2019/2/10 8:30,0,0,0,-8.8,921.5,60.7,0
2019/2/10 8:45,4,0,3,-8.6,921.5,60.7,0.02
2019/2/10 9:00,22,0,16,-8.4,921.6,60,0.59
2019/2/10 9:15,56,0,34,-8.3,921.6,60.2,1.95
2019/2/10 9:30,109,2,53,-8.3,921.7,60,3.93
2019/2/10 9:45,175,3,69,-8.2,921.9,60,6.53
2019/2/10 10:00,261,7,86,-7.5,921.7,59.3,10.26
2019/2/10 10:15,351,9,99,-6.8,921.5,57.3,13.55
2019/2/10 10:30,435,11,108,-6,921.3,55.7,17.21
2019/2/10 10:45,510,11,118,-5.2,920.9,53.8,20.33
2019/2/10 11:00,574,12,125,-4.5,920.6,50.9,23.32
2019/2/10 11:15,630,13,134,-3.4,920.2,47.9,26.03
2019/2/10 11:30,692,12,134,-2.3,920.1,44.7,28.84
2019/2/10 11:45,733,13,144,-1.7,919.8,43.1,30.45
2019/2/10 12:00,779,14,150,-1.3,919.6,42,32.55
2019/2/10 12:15,825,14,155,-1,919.5,41.5,33.73
2019/2/10 12:30,866,15,158,-0.9,919.5,41.1,35.91
2019/2/10 12:45,852,18,155,-1.5,919.3,43,35.77
2019/2/10 13:00,843,14,161,-1.2,919.2,41.6,36.17
2019/2/10 13:15,955,15,172,-1,919.3,42.1,39.26
2019/2/10 13:30,902,15,161,-0.7,919.1,41.1,39.32
2019/2/10 13:45,1000,13,205,-0.1,919,39.1,39.97
2019/2/10 14:00,917,15,215,-0.3,918.9,39.9,38.67
2019/2/10 14:15,972,14,178,-0.2,918.6,39.8,37.79
2019/2/10 14:30,847,14,164,0,918.1,38.1,35.31
2019/2/10 14:45,794,16,155,0.2,918,36.1,32.7
2019/2/10 15:00,863,14,169,0.7,917.7,35.2,35.01
2019/2/10 15:15,889,15,170,1.3,917.6,33.3,36.04
2019/2/10 15:30,753,18,178,0.7,917.3,32.8,32.59
2019/2/10 15:45,758,18,183,0.8,917,33.1,33.26
2019/2/10 16:00,651,14,165,0.9,917,32.9,27.79
2019/2/10 16:15,383,12,154,0.7,916.7,31.3,21.14
2019/2/10 16:30,454,10,179,0.9,916.8,29.1,22.13
2019/2/10 16:45,343,7,158,0.7,916.8,30.4,16.07
2019/2/10 17:00,203,4,120,0.8,916.9,29.2,8.38
2019/2/10 17:15,143,1,103,0.7,916.7,29.1,6.2
2019/2/10 17:30,112,2,85,0.4,916.7,29.1,4.63
2019/2/10 17:45,107,2,76,0.4,916.7,29.2,4.18
2019/2/10 18:00,78,1,56,0.1,916.8,32,2.82
2019/2/10 18:15,51,1,42,0,916.5,32.1,1.83
2019/2/10 18:30,36,0,30,-0.2,916.7,31.9,1.09
2019/2/10 18:45,13,1,11,-0.3,916.4,31.5,0.15
2019/2/10 19:00,2,0,1,-0.5,916.4,32.9,0
2019/2/10 19:15,0,0,0,-0.7,916.5,33,0
2019/2/10 19:30,0,0,0,-0.7,916.3,33.5,0
2019/2/10 19:45,0,0,0,-0.7,916.4,33.7,0
2019/2/10 20:00,0,0,0,-0.9,916.5,34.2,0
2019/2/10 20:15,0,0,0,-0.9,916.4,34.3,0
2019/2/10 20:30,0,1,0,-0.7,916.7,33.9,0
2019/2/10 20:45,0,1,0,-1,916.6,34.8,0
2019/2/10 21:00,0,1,0,-1.1,916.7,35.2,0
2019/2/10 21:15,0,0,0,-0.9,916.5,33.9,0
2019/2/10 21:30,0,1,0,-1.3,916.5,33.9,0
2019/2/10 21:45,0,0,0,-2.4,916.6,36.2,0
2019/2/10 22:00,0,0,0,-2,916.4,36.2,0
2019/2/10 22:15,0,0,0,-2,916.4,36.4,0
2019/2/10 22:30,0,1,0,-1.8,916.2,33.7,0
2019/2/10 22:45,0,1,0,-3,916.1,37,0
2019/2/10 23:00,0,1,0,-3.1,916.1,36.3,0
2019/2/10 23:15,0,0,0,-3.4,916.1,37.5,0
